flat_type,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking,Flat_price
2,Mira Road East,1060,recent construction,Semi Furnished,2,2,0,1,9500
1,Borivali East,525,mid age property,Semi Furnished,1,2,0,0,9300
2,Bhandup West,1065,new construction,Semi Furnished,2,2,1,1,14800
3,Bhandup West,1150,recent construction,Semi Furnished,3,2,0,1,25000
1,Wadala East,480,new construction,Unfurnished,1,2,0,1,11000
2,Thane West,900,new construction,Semi Furnished,2,2,2,1,11000
1,Bhandup West,725,recent construction,Semi Furnished,1,2,0,1,10500
3,Goregaon East,3375,recent construction,Fully Furnished,3,3,3,1,41500
2,Powai,1250,recent construction,Unfurnished,2,2,2,1,24000
2,Borivali East,963,new construction,Unfurnished,2,2,0,1,14200
2,Goregaon West,1125,new construction,Semi Furnished,2,2,3,1,25000
2,Goregaon East,900,modern property,Semi Furnished,2,2,0,1,16200
2,Bhandup West,1060,modern property,Semi Furnished,2,2,1,1,14600
1,Kandivali West,550,recent construction,Semi Furnished,1,2,0,1,13500
3,Powai,1500,new construction,Unfurnished,3,3,1,1,36500
2,Kurla East,708,recent construction,Semi Furnished,2,2,0,1,11700
4,Lower Parel,1900,new construction,Unfurnished,4,3,1,1,95000
1,Vikhroli East,392,new construction,Semi Furnished,1,2,0,1,9700
1,Kurla West,550,new construction,Semi Furnished,1,1,0,1,11500
3,Kandivali West,1010,recent construction,Semi Furnished,3,2,0,1,18800
1,Mira Road East,432,recent construction,Semi Furnished,1,1,2,0,6000
4,Chembur,1700,recent construction,Semi Furnished,4,3,3,1,55000
2,Kandivali East,1050,recent construction,Semi Furnished,2,2,0,1,17000
3,Nalasopara East,1080,recent construction,Semi Furnished,3,2,3,1,5200
3,Parel,960,mid age property,Fully Furnished,3,1,0,1,33000
1,Virar West,650,recent construction,Unfurnished,1,2,2,0,3000
1,Sion,616,recent construction,Semi Furnished,1,1,1,1,17000
1,Malad West,490,recent construction,Semi Furnished,1,2,0,1,10000
3,Sion,1670,recent construction,Semi Furnished,3,2,2,1,47500
3,Kurla West,1300,new construction,Semi Furnished,3,3,0,1,25000
2,Virar West,890,recent construction,Semi Furnished,2,2,0,1,4900
3,Chembur,1579,recent construction,Semi Furnished,3,2,1,1,68000
2,Mulund West,750,recent construction,Unfurnished,2,2,3,1,20000
2,Mira Road East,995,new construction,Semi Furnished,2,2,3,1,8200
3,Chembur,1300,recent construction,Semi Furnished,3,3,2,1,43000
2,Andheri East,1100,recent construction,Semi Furnished,2,2,2,1,20500
1,Lower Parel,590,new construction,Semi Furnished,1,1,1,1,16000
1,Malad West,600,modern property,Fully Furnished,1,2,0,1,13500
2,Wadala East,955,recent construction,Unfurnished,2,2,0,1,19000
3,Khar West,1500,new construction,Semi Furnished,3,3,0,1,70000
3,Borivali East,1000,recent construction,Unfurnished,3,3,0,1,20000
4,Powai,2080,recent construction,Unfurnished,4,4,1,1,71000
1,Mira Road East,650,recent construction,Unfurnished,1,2,3,1,6500
2,Naigaon East,775,new construction,Unfurnished,2,1,3,1,5000
2,Andheri East,1052,modern property,Fully Furnished,2,2,1,1,17500
1,Kandivali West,650,recent construction,Unfurnished,1,2,0,1,8000
1,Santacruz East,600,new construction,Unfurnished,1,2,0,1,14000
3,Jogeshwari West,1450,modern property,Semi Furnished,3,3,0,1,42000
3,Vile Parle East,1200,new construction,Semi Furnished,3,3,0,1,41500
3,Kandivali East,1200,modern property,Fully Furnished,3,3,1,1,24000
4,Kandivali East,2100,modern property,Semi Furnished,4,4,0,1,22500
